,file_path,module_name
0,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/lib_data/ethflctc2tx/ethflctc2tx_msv_drv_nettype_pkg/systemVerilog/verilog.sv,verilog
1,/p/hdk/rtl/cad/x86-64_linux30/synopsys/vcsmx/R-2020.12-1/etc/snps_msv/snps_msv_nettype_pkg.svp,snps_msv_nettype_pkg
2,/nfs/iil/disks/barak_g2_tc2_rtl/users/lisrael1/first/analog_sa/src/bmod/lane_top/1p0/msv_rc_filter.sv,msv_rc_filter
3,importing_wreal.sv,importing_wreal
4,/nfs/iil/disks/falcon_tc2-rtl/TC2/users/yehudabe/work/analog_sa/src/bmod/lane_top/lane_top_n3_0p5/msv_serializer.sv,msv_serializer
5,/nfs/iil/disks/falcon_tc2-rtl/TC2/users/yehudabe/work/analog_sa/src/bmod/lane_top/lane_top_n3_0p5/msv_th_by_exp.sv,msv_th_by_exp
6,/nfs/iil/disks/falcon_tc2-rtl/TC2/users/yehudabe/work/analog_sa/src/bmod/lane_top/lane_top_n3_0p5/res.sv,res
7,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethadcrefgenshr_32bit_2_36bit.v,ethadcrefgenshr_32bit_2_36bit
8,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethadcrefgenshr_BUFFD4BWP260H3P45FB1CNODLVT.sv,ethadcrefgenshr_BUFFD4BWP260H3P45FB1CNODLVT
9,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethadcrefgenshr_HDBSVT06_INV_1.sv,ethadcrefgenshr_HDBSVT06_INV_1
10,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethadcrefgenshr_HDBSVT06_NR3_1.sv,ethadcrefgenshr_HDBSVT06_NR3_1
11,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethadcrefgenshr_INVD10BWP260H3P45FB1CNODLVT.sv,ethadcrefgenshr_INVD10BWP260H3P45FB1CNODLVT
12,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethadcrefgenshr_INVD4BWP260H3P45FB1CNODLVT.sv,ethadcrefgenshr_INVD4BWP260H3P45FB1CNODLVT
13,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethadcrefgenshr_ND2D4BWP260H3P45FB1CNODLVT.sv,ethadcrefgenshr_ND2D4BWP260H3P45FB1CNODLVT
14,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethadcrefgenshr_dcmon_control_top.v,ethadcrefgenshr_dcmon_control_top
15,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethadcrefgenshr_dcmon_sw.sv,ethadcrefgenshr_dcmon_sw
16,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethadcrefgenshr_dcmon_sw_top.v,ethadcrefgenshr_dcmon_sw_top
17,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethadcrefgenshr_dff_rb_sb.v,ethadcrefgenshr_dff_rb_sb
18,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethadcrefgenshr_left_half.v,ethadcrefgenshr_left_half
19,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethadcrefgenshr_mux.v,ethadcrefgenshr_mux
20,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethadcrefgenshr_mux_new_sw_set_common.sv,ethadcrefgenshr_mux_new_sw_set_common
21,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethadcrefgenshr_mux_new_sw_set_lay_left.sv,ethadcrefgenshr_mux_new_sw_set_lay_left
22,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethadcrefgenshr_mux_new_sw_set_lay_option.sv,ethadcrefgenshr_mux_new_sw_set_lay_option
23,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethadcrefgenshr_mux_new_sw_set_lay_right.sv,ethadcrefgenshr_mux_new_sw_set_lay_right
24,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethadcrefgenshr_mux_res_dfx.v,ethadcrefgenshr_mux_res_dfx
25,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethadcrefgenshr_nor3_sw_cm.v,ethadcrefgenshr_nor3_sw_cm
26,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethadcrefgenshr_nor3_sw_left.v,ethadcrefgenshr_nor3_sw_left
27,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethadcrefgenshr_nor3_sw_left_edge_2.v,ethadcrefgenshr_nor3_sw_left_edge_2
28,/p/hip/wa/yehudabe/flcn3/flc_n3/soswa/ethflctc2top_lane_top_svrun1/3.ethflctc2top_lane_top/ethadcrefgenshr_nor3_sw_right.v,ethadcrefgenshr_nor3_sw_right
